      event_id  detector_system  detector_index  n_hits  first_arrival
729         75                0              82      14       6.526616
730         75                0              88    1188       1.646690
731         75                0              96       1       5.977717
732         75                0              97     128       4.986546
733         75                0             112     178       4.043427
734         75                0             115     169       4.496730
735         75                0             131       7       5.161003
736         75                2             133      85       6.297271
737         76                0              63     887       0.818920
738         76                0              70     121       2.735128
739         76                0              76      60       4.020086
740         76                0              77      84       4.593547
741         76                0              80      80       5.781796
742         76                0              88     647       1.554233
743         76                0              97      43       5.458460
744         76                0             112     126       4.411456
745         76                0             115     125       5.084245
746         76                2             133       7       6.799389
747         77                0              63     452       0.707707
748         77                0              70      48       2.906812
749         77                0              76      11       4.625259
750         77                0              77      35       5.033424
751         77                0              80      10       6.311639
752         77                0              88      19       3.134854
753         77                0             112       4       4.869783
754         77                0             115       9       5.679023
755         78                0              42     135       2.506089
756         78                0              44      79       1.155601
757         78                0              45      89       2.534756
758         78                0              74      49       6.111376
759         78                0              75     116       4.708043
760         78                0              82      12       6.181818
761         78                0             113     103       4.557577
762         78                0             117      22       1.469234
763         78                2             134      36       4.229492
764         79                0              42     248       2.173644
765         79                0              44     220       1.181783
766         79                0              45     216       2.225398
767         79                0              73      41       4.856388
768         79                0              74      91       5.536346
769         79                0              75     151       4.168119
770         79                0              82      28       5.597217
771         79                0             113     166       4.007656
772         79                0             117     219       1.000348
773         79                2             133      35       6.595757
774         79                2             134      44       3.858439
775         80                0              42     339       2.386198
776         80                0              44       5       1.916544
777         80                0              45     322       2.425680
778         80                0              73     113       4.576444
779         80                0              74     111       4.977604
780         80                0              75     231       3.698883
781         80                0              80       6       6.678151
782         80                0              82      68       5.014490
783         80                0              99      70       5.444809
784         80                0             113     296       3.512052
785         80                0             117     120       1.369395
786         80                0             120       1       3.732935
787         80                0             130      50       5.404206
788         80                2             133     124       6.031598
789         80                2             134     116       3.825398
790         81                0              42     233       2.879233
791         81                0              45     214       2.904721
792         81                0              73     153       4.444414
793         81                0              74     161       4.456229
794         81                0              75     399       3.488027
795         81                0              80     117       6.016501
796         81                0              82     139       4.456201
797         81                0              99     154       5.121431
798         81                0             113     482       3.198535
799         81                0             115      96       5.587101
800         81                0             130     119       5.065557
801         81                2             133     157       5.487627
802         81                2             134     178       4.053636
803         82                0              42      52       3.530796
804         82                0              45      35       3.560683
805         82                0              73     179       4.490155
806         82                0              74     304       4.052351
807         82                0              75     346       3.745730
808         82                0              80     186       5.441990
809         82                0              82     300       4.029847
810         82                0              96      57       5.681939
811         82                0              97      36       5.720376
812         82                0              99     153       4.922067
813         82                0             113     449       3.320129
814         82                0             115     204       5.017529
815         82                0             130     144       4.866136
816         82                2             133     200       4.938560
817         82                2             134     123       4.399600
818         83                0              73     144       4.703649
819         83                0              74     426       4.018387
820         83                0              75     238       4.229358
821         83                0              76      78       5.344547
822         83                0              77     102       5.317382
823         83                0              80     236       4.884687
824         83                0              82     448       3.966770
825         83                0              83       2       6.619939
826         83                0              96     154       5.287908
827         83                0              97     138       5.329366
828         83                0              99     155       4.890164
829         83                0             113     346       3.755494
830         83                0             115     271       4.460327
831         83                0             130     165       4.833975
832         83                2             133     263       4.493714
833         83                2             134      31       4.973951
834         84                0              73      49       5.051291
835         84                0              74     317       4.392232
836         84                0              75     147       4.778699
837         84                0              76     161       4.781235
838         84                0              77     147       4.747707
839         84                0              80     324       4.365797
840         84                0              82     301       4.339312
841         84                0              96     183       4.992629
842         84                0              97     158       5.039281
843         84                0              99     160       5.031864
844         84                0             112      44       5.062183
845         84                0             113     252       4.286448
846         84                0             115     401       3.953622
847         84                0             130     175       4.981931
848         84                0             131      48       5.040964
849         84                2             133     351       4.390848
850         85                0              74     209       4.906207
851         85                0              75      86       5.343802
852         85                0              76     233       4.240189
853         85                0              77     245       4.200371
854         85                0              80     391       3.989626
855         85                0              82     218       4.857306
856         85                0              96     191       4.842599
857         85                0              97     171       4.887715
858         85                0              99     142       5.317626
859         85                0             112     120       4.712439
860         85                0             113      99       4.849933
861         85                0             115     523       3.603709
862         85                0             130     163       5.271809
863         85                0             131     120       4.695323
864         85                2             133     280       4.502917
865         86                0              70      14       3.593747
866         86                0              74     176       5.462164
867         86                0              76     345       3.769917
868         86                0              77     345       3.717990
869         86                0              80     263       4.035396
870         86                0              82     151       5.416018
871         86                0              88      67       3.058204
872         86                0              96     136       4.866916
873         86                0              97     162       4.909227
874         86                0              99      51       5.701977
875         86                0             112     203       4.498710
876         86                0             115     359       3.680366
877         86                0             130      46       5.667680
878         86                0             131     190       4.480739
879         86                2             133     200       4.907221
880         87                0              70     227       2.855065
881         87                0              74      97       6.034495
882         87                0              76     371       3.534369
883         87                0              77     433       3.482147
884         87                0              80     174       4.453367
885         87                0              82     106       5.992814
886         87                0              88     303       2.436905
887         87                0              96     124       5.060305
888         87                0              97     127       5.097669
889         87                0             112     170       4.452169
890         87                0             115     220       4.094606
891         87                0             131     154       4.433283
892         87                2             133     132       5.459127
893         88                0              70     337       2.367028
894         88                0              74       3       6.687954
895         88                0              76     234       3.744460
896         88                0              77     255       3.731676
897         88                0              80     113       4.983739
898         88                0              82      12       6.618040
899         88                0              88     434       2.013760
900         88                0              96      60       5.391636
901         88                0              97      71       5.417081
902         88                0             112     101       4.583268
903         88                0             115     149       4.623786
904         88                0             131     116       4.565187
905         88                2             133     107       6.023877
906         89                0              63     178       1.146609
907         89                0              64     203       1.156618
908         89                0              70     230       2.141473
909         89                0              76     109       4.205285
910         89                0              77     146       4.217297
911         89                0              80     108       5.543863
912         89                0              88     223       1.949068
913         89                0              96       1       5.821236
914         89                0             112      38       4.866025
915         89                0             115     119       5.184426
916         89                0             131      30       4.847990
917         89                2             133      47       6.592678
918         90                0              63      68       1.085766
919         90                0              64      70       1.094781
920         90                0              70     112       2.437958
921         90                0              76      46       4.744404
